runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
2181455.thibault.marquet,Thibault MARQUET,18:59:36,1,France,FR,875,20-34,H
1028609.alban.berson,Alban BERSON,19:56:40,2,France,FR,833,40-44,H
448706.gautier.airiau,Gautier AIRIAU,20:07:22,3,France,FR,826,20-34,H
386109.nicolas.gourdon,Nicolas GOURDON,20:30:53,4,France,FR,810,20-34,H
4189482.kevin.roux,Kevin ROUX,20:44:53,5,France,FR,801,20-34,H
674350.ales.sedlak,Ales SEDLAK,21:03:56,6,Czech Republic,CZ,789,35-39,H
1127327.zairan.li,Zairan LI,21:13:57,7,China,CN,783,35-39,H
1762313.marijn.sinkeldam,Marijn SINKELDAM,21:14:40,8,Netherlands,NL,782,20-34,H
4064.jason.schlarb,Jason SCHLARB,21:21:06,9,United States of America,US,779,45-49,H
969089.clement.mugnier,Clement MUGNIER,21:26:36,10,France,FR,775,20-34,H
6598.julien.chorier,Julien CHORIER,21:40:39,11,France,FR,767,40-44,H
1210767.jiqian.wang,Jiqian WANG,22:06:59,12,China,CN,752,35-39,H
1794513.antoine.lamboymartin,Antoine LAMBOY-MARTIN,22:11:05,13,France,FR,749,20-34,H
1581017.matt.palilla,Matt PALILLA,22:31:48,14,United States of America,US,738,40-44,H
2269563.timon.gunther,Timon GÜNTHER,22:46:54,15,Germany,DE,730,20-34,H
4703266.nicolas.jacob,Nicolas JACOB,22:51:07,16,France,FR,727,20-34,H
573565.cedric.golea,Cédric GOLEA,22:54:00,17,France,FR,726,40-44,H
1916341.kevin.didier,Kevin DIDIER,22:56:52,18,France,FR,724,20-34,H
4595360.max.jolliffe,Max JOLLIFFE,23:05:59,19,United States of America,US,720,20-34,H
766730.sidney.thomasset,Sidney THOMASSET,23:10:36,20,France,FR,717,20-34,H
1909651.ricki.wynne,Ricki WYNNE,23:16:03,21,Ireland,IE,714,40-44,H
639530.sebastien.buet,Sebastien BUET,23:17:42,22,France,FR,714,35-39,H
60859.tofol.castanyer,Tofol CASTANYER,23:34:43,23,Spain,ES,705,50-54,H
921767.massimo.paladin,Massimo PALADIN,23:40:43,24,Italy,IT,702,35-39,H
4249759.andrea.paladin,Andrea PALADIN,23:40:44,25,Italy,IT,702,20-34,H
677825.iban.agirrezabalaiturralde,Iban AGIRREZABALA ITURRALDE,23:45:45,26,Spain,ES,700,35-39,H
1374011.simon.dugue,Simon DUGUE,23:52:10,27,France,FR,696,20-34,H
2111901.valentin.isler,Valentin ISLER,24:02:38,28,Switzerland,CH,691,35-39,H
4241927.ronan.callet,Ronan CALLET,24:05:57,29,France,FR,690,20-34,H
366647.marie.dohin,Marie DOHIN,24:06:01,30,France,FR,690,40-44,F
895001.antoine.olivier,Antoine OLIVIER,24:08:49,31,France,FR,688,35-39,H
2655535.antoine.bousquet,Antoine BOUSQUET,24:16:46,32,France,FR,685,35-39,H
1471991.edvardas.moseika,Edvardas MOSEIKA,24:16:47,33,Lithuania,LT,685,35-39,H
444321.thomas.roze,Thomas ROZE,24:26:52,34,France,FR,680,20-34,H
422893.marin.mandekic,Marin MANDEKIC,24:39:50,35,Croatia,HR,674,45-49,H
1523695.ariane.wilhem,Ariane WILHEM,24:42:03,36,Switzerland,CH,673,20-34,F
3523619.florian.ruchet,Florian RUCHET,24:42:44,37,Switzerland,CH,673,20-34,H
267662.jeffrey.fleury,Jeffrey FLEURY,24:42:45,38,France,FR,673,35-39,H
548124.kamil.dabrowski,Kamil DABROWSKI,24:46:27,39,Poland,PL,671,35-39,H
2547245.fernandoesteban.bosio,Fernando Esteban BOSIO,24:57:36,40,Argentina,AR,666,20-34,H
2474255.jeremie.roussinet,Jérémie ROUSSINET,25:03:37,41,France,FR,663,40-44,H
1557413.alexander.prokudin,Alexander PROKUDIN,25:18:47,42,Türkiye,TR,657,45-49,H
4579489.simone.damassi,Simone DAMASSI,25:20:19,43,Italy,IT,656,20-34,H
4044636.mattia.negro,Mattia NEGRO,25:20:19,43,Italy,IT,656,20-34,H
2260001.delbi.villagongora,Delbi VILLA GONGORA,25:20:56,45,French Polynesia,PF,656,35-39,H
384632.alex.collins,Alex COLLINS,25:22:33,46,United Kingdom,GB,655,40-44,H
2173903.damien.lemasson,Damien LEMASSON,25:29:29,47,France,FR,652,20-34,H
828336.celine.finas,Celine FINAS,25:41:41,48,France,FR,647,35-39,F
4901012.clement.michy,Clément MICHY,25:47:18,49,France,FR,645,20-34,H
2528465.arnaud.beck,Arnaud BECK,25:47:29,50,France,FR,645,40-44,H
41959.etienne.zurfluh,Etienne ZURFLUH,25:49:38,51,France,FR,644,50-54,H
1395255.francois.romieu,Francois ROMIEU,25:54:02,52,France,FR,,40-44,H
3191603.aleksandra.narkowicz,Aleksandra NARKOWICZ,25:56:30,53,Poland,PL,,40-44,F
1539907.maxime.couallier,Maxime COUALLIER,25:58:17,54,France,FR,,35-39,H
2528555.bastien.gueguen,Bastien GUEGUEN,26:05:35,55,France,FR,,20-34,H
4711764.cillian.fleming,Cillian FLEMING,26:06:32,56,Ireland,IE,,20-34,H
1699653.aleksei.beresnev,Aleksei BERESNEV,26:09:53,57,Neutral Athlete,AIN,,20-34,H
2528477.simon.despres,Simon DESPRES,26:11:57,58,France,FR,,35-39,H
1131997.miklos.ori,Miklós ŐRI (Miklos ORI),26:13:21,59,Hungary,HU,,20-34,H
11054.patrice.paquier,Patrice PAQUIER,26:17:04,60,France,FR,,50-54,H
4182919.oussama.abdelmoumen,Oussama ABDELMOUMEN,26:18:41,61,Morocco,MA,,20-34,H
4492696.christos.sakkas,Christos SAKKAS,26:24:28,62,Greece,GR,,35-39,H
70464.pete.vale,Pete VALE,26:31:18,63,United Kingdom,GB,,50-54,H
520997.yohann.vachelard,Yohann VACHELARD,26:36:06,64,France,FR,,40-44,H
4220871.julien.tanguy,Julien TANGUY,26:37:45,65,France,FR,,20-34,H
1424985.arthur.desaleux,Arthur DESALEUX,26:38:27,66,France,FR,,20-34,H
1400817.christophe.deboisset,Christophe DE BOISSET,26:40:48,67,France,FR,,20-34,H
481039.damien.imparato,Damien IMPARATO,26:43:08,68,France,FR,,40-44,H
4713190.nick.waggoner,Nick WAGGONER,26:49:22,69,Canada,CA,,35-39,H
2098897.bastien.flechoux,Bastien FLECHOUX,26:55:57,70,France,FR,,35-39,H
1906171.axel.felician,Axel FELICIAN,27:10:51,71,France,FR,,35-39,H
196799.loic.jalmin,Loic JALMIN,27:12:00,72,France,FR,,40-44,H
1337355.nicolas.daigremont,Nicolas DAIGREMONT,27:14:56,73,France,FR,,35-39,H
3576479.mickael.brunberthet,Mickael BRUN BERTHET,27:15:16,74,France,FR,,20-34,H
4392490.valentin.maury,Valentin MAURY,27:17:12,75,France,FR,,20-34,H
220895.tamas.belus,Tamas BELUS,27:18:56,76,Hungary,HU,,40-44,H
3689911.clement.fontenay,Clément FONTENAY,27:19:38,77,France,FR,,20-34,H
2293511.julien.zimmer,Julien ZIMMER,27:22:52,78,France,FR,,35-39,H
758603.mickael.robert,Mickaël ROBERT,27:24:50,79,France,FR,,20-34,H
1542561.thibault.lagorce,Thibault LAGORCE,27:34:03,80,France,FR,,35-39,H
982721.wenfei.xie,Wenfei XIE,27:35:30,81,China,CN,,40-44,F
5240320.oscar.rosenberg,Oscar ROSENBERG,27:36:06,82,Denmark,DK,,20-34,H
4482889.andrea.visinoni,Andrea VISINONI,27:36:07,83,Italy,IT,,20-34,H
1258071.alexandre.boinon,Alexandre BOINON,27:39:30,84,France,FR,,40-44,H
2656283.thomas.chirent,Thomas CHIRENT,27:41:02,85,France,FR,,20-34,H
81120.till.winkler,Till WINKLER,27:41:27,86,Germany,DE,,45-49,H
1947413.tanguy.groussin,Tanguy GROUSSIN,27:42:23,87,France,FR,,35-39,H
2662385.jean.caux,Jean CAUX,27:44:34,88,France,FR,,20-34,H
2086425.thomas.piquet,Thomas PIQUET,27:46:00,89,France,FR,,35-39,H
4162421.victor.martinez,Victor MARTINEZ,27:48:32,90,France,FR,,20-34,H
1741055.maxime.fournier,Maxime FOURNIER,27:50:28,91,France,FR,,35-39,H
4322102.alexandre.labrosse,Alexandre LABROSSE,27:52:22,92,France,FR,,20-34,H
4198374.alexander.winter,Alexander WINTER,27:52:24,93,Sweden,SE,,20-34,H
1471997.jonas.narkeliunas,Jonas NARKELIŪNAS,27:52:24,93,Lithuania,LT,,20-34,H
